,prices,market_caps,total_volumes
182,"[1613260800000, 46941.29208582354]","[1613260800000, 874425017687.0778]","[1613260800000, 55312381649.33813]"
183,"[1613347200000, 48607.8745224845]","[1613347200000, 905515462576.995]","[1613347200000, 57738376570.131905]"
184,"[1613433600000, 47898.487027633135]","[1613433600000, 892345220938.2782]","[1613433600000, 61061855793.76279]"
185,"[1613520000000, 49238.13690672487]","[1613520000000, 917339726314.6964]","[1613520000000, 64141133353.975624]"
186,"[1613606400000, 52143.6788446198]","[1613606400000, 971516568847.578]","[1613606400000, 68478739131.4286]"
187,"[1613692800000, 51733.075539032034]","[1613692800000, 963911356673.4604]","[1613692800000, 58486508605.55778]"
188,"[1613779200000, 56038.72775892988]","[1613779200000, 1044189900351.5892]","[1613779200000, 71397235196.83829]"
189,"[1613865600000, 56377.63347790987]","[1613865600000, 1050555931433.1447]","[1613865600000, 77351787996.10461]"
190,"[1613952000000, 57669.3035269179]","[1613952000000, 1075380337357.9143]","[1613952000000, 61223272210.96276]"
191,"[1614038400000, 54410.85629451601]","[1614038400000, 1012091985973.4642]","[1614038400000, 101532021847.06647]"
192,"[1614124800000, 48691.894831704405]","[1614124800000, 904133801444.5278]","[1614124800000, 116689607925.81473]"
193,"[1614211200000, 49849.378713583144]","[1614211200000, 929081504353.552]","[1614211200000, 73140585468.96529]"
194,"[1614297600000, 46992.665450048495]","[1614297600000, 875883932252.4404]","[1614297600000, 60355381275.54549]"
195,"[1614384000000, 46551.48747675472]","[1614384000000, 869070614247.8623]","[1614384000000, 74357197463.7094]"
196,"[1614470400000, 46653.52639939581]","[1614470400000, 869649724200.5775]","[1614470400000, 50989764248.82767]"
197,"[1614556800000, 44970.163459946736]","[1614556800000, 838307614585.1935]","[1614556800000, 59679588927.08056]"
198,"[1614643200000, 49787.33995949672]","[1614643200000, 928146793676.4287]","[1614643200000, 63218569171.598305]"
199,"[1614729600000, 48532.23678981703]","[1614729600000, 905413239164.9064]","[1614729600000, 53499537416.816475]"
200,"[1614816000000, 50577.45746915202]","[1614816000000, 942969910364.1804]","[1614816000000, 59212268141.16633]"
201,"[1614902400000, 48727.45120080115]","[1614902400000, 908517236707.5374]","[1614902400000, 60749587836.169136]"
202,"[1614988800000, 49091.81488232977]","[1614988800000, 911379300053.3455]","[1614988800000, 56568112294.26829]"
203,"[1615075200000, 49019.36859236582]","[1615075200000, 916504852500.393]","[1615075200000, 41478786533.38212]"
204,"[1615161600000, 51313.09262027362]","[1615161600000, 955040794770.1399]","[1615161600000, 46146324828.48082]"
205,"[1615248000000, 52328.5359126325]","[1615248000000, 974195000547.444]","[1615248000000, 53568946625.62234]"
206,"[1615334400000, 54700.273439277444]","[1615334400000, 1018978819157.4177]","[1615334400000, 57418251743.06042]"
207,"[1615420800000, 56020.4877195857]","[1615420800000, 1044805904677.5541]","[1615420800000, 63560545036.79726]"
208,"[1615507200000, 57788.86810329514]","[1615507200000, 1077836070933.286]","[1615507200000, 64605228617.76096]"
209,"[1615593600000, 57353.86147197248]","[1615593600000, 1069776383193.8628]","[1615593600000, 59984971691.807]"
210,"[1615680000000, 61315.197932766816]","[1615680000000, 1145191373521.5942]","[1615680000000, 67332756651.27568]"
211,"[1615766400000, 59428.967566027764]","[1615766400000, 1111684638819.0723]","[1615766400000, 48104078384.27405]"
212,"[1615852800000, 55805.32924923426]","[1615852800000, 1049197142851.5631]","[1615852800000, 70594488699.70683]"
213,"[1615939200000, 56830.253335076224]","[1615939200000, 1060221966894.7418]","[1615939200000, 63219904254.35453]"
214,"[1616025600000, 59014.92563205099]","[1616025600000, 1101028543248.462]","[1616025600000, 63368268626.27834]"
215,"[1616112000000, 57922.40959262911]","[1616112000000, 1081065767945.8683]","[1616112000000, 58387006275.72827]"
216,"[1616198400000, 58243.27060892363]","[1616198400000, 1086741150606.8165]","[1616198400000, 51948388930.75819]"
217,"[1616284800000, 58376.15847137206]","[1616284800000, 1090022321077.5006]","[1616284800000, 54549112635.671715]"
218,"[1616371200000, 57573.539344778685]","[1616371200000, 1074356788297.177]","[1616371200000, 55664123837.602554]"
219,"[1616457600000, 54370.137557895185]","[1616457600000, 1020641820438.662]","[1616457600000, 62001716794.84347]"
220,"[1616544000000, 54584.86994699455]","[1616544000000, 1017637245492.0177]","[1616544000000, 60383378707.04851]"
221,"[1616630400000, 52526.86659704657]","[1616630400000, 982797427007.2565]","[1616630400000, 73029051195.05199]"
222,"[1616716800000, 51416.908304980054]","[1616716800000, 959155260366.7408]","[1616716800000, 63401640502.561295]"
223,"[1616803200000, 55033.100480447036]","[1616803200000, 1027209990794.8939]","[1616803200000, 55442557956.15464]"
224,"[1616889600000, 55832.418109618324]","[1616889600000, 1042184275332.6417]","[1616889600000, 47285749218.66506]"
225,"[1616976000000, 55728.10132780653]","[1616976000000, 1039333584621.1438]","[1616976000000, 49315845081.42435]"
226,"[1617062400000, 57634.92869447539]","[1617062400000, 1075942162536.995]","[1617062400000, 57387039705.47129]"
227,"[1617148800000, 58668.628336761]","[1617148800000, 1095293012032.8433]","[1617148800000, 52387542500.621956]"
228,"[1617235200000, 58817.3738884188]","[1617235200000, 1098127310946.8978]","[1617235200000, 57495844477.9185]"
229,"[1617321600000, 58801.194843878126]","[1617321600000, 1098583823874.2307]","[1617321600000, 54320681400.56781]"
230,"[1617408000000, 59060.02678333801]","[1617408000000, 1103133931136.5508]","[1617408000000, 52224918752.08043]"
231,"[1617494400000, 57060.40665471088]","[1617494400000, 1067101827372.9529]","[1617494400000, 52067853987.600494]"
232,"[1617580800000, 58228.802623466196]","[1617580800000, 1087344280109.6896]","[1617580800000, 46156767978.177345]"
233,"[1617667200000, 58706.81559311396]","[1617667200000, 1096202611389.9541]","[1617667200000, 54670173277.08731]"
234,"[1617753600000, 58062.17872433649]","[1617753600000, 1084341670320.8142]","[1617753600000, 61497704158.13829]"
235,"[1617840000000, 56134.41738866435]","[1617840000000, 1050759681844.6099]","[1617840000000, 67617613532.43307]"
236,"[1617926400000, 58065.644024815316]","[1617926400000, 1083362883828.1199]","[1617926400000, 48714359354.07226]"
237,"[1618012800000, 58152.993262141834]","[1618012800000, 1085794662404.731]","[1618012800000, 45880879041.76103]"
238,"[1618099200000, 59979.39281571831]","[1618099200000, 1116221525334.3267]","[1618099200000, 61788197398.73793]"
239,"[1618185600000, 59988.02095852983]","[1618185600000, 1120606689450.4702]","[1618185600000, 46792500386.96501]"
240,"[1618272000000, 59911.020594847316]","[1618272000000, 1118532902101.5269]","[1618272000000, 55994558888.5224]"
241,"[1618358400000, 63576.676041048275]","[1618358400000, 1187737045885.1743]","[1618358400000, 71993120011.18321]"
242,"[1618444800000, 62807.12323259299]","[1618444800000, 1173412921929.8884]","[1618444800000, 80157135507.58896]"
243,"[1618531200000, 63179.772446084695]","[1618531200000, 1179561609816.9358]","[1618531200000, 60495376851.28074]"
244,"[1618617600000, 61497.299569441195]","[1618617600000, 1149602869702.2644]","[1618617600000, 86260673269.76614]"
245,"[1618704000000, 60273.86667694734]","[1618704000000, 1125592412523.221]","[1618704000000, 63808212132.53643]"
246,"[1618790400000, 56288.94534001195]","[1618790400000, 1053618163309.5769]","[1618790400000, 102065957642.22952]"
247,"[1618876800000, 55721.166052695626]","[1618876800000, 1043148020633.034]","[1618876800000, 66156275209.79711]"
248,"[1618963200000, 56294.728558586925]","[1618963200000, 1055145534127.332]","[1618963200000, 68166802215.759544]"
249,"[1619049600000, 54190.07026283405]","[1619049600000, 1012699264345.6595]","[1619049600000, 56115370322.140594]"
250,"[1619136000000, 51965.5664304852]","[1619136000000, 971174701492.849]","[1619136000000, 77897442831.71704]"
251,"[1619222400000, 51191.1246964079]","[1619222400000, 956744203682.2198]","[1619222400000, 91138220375.4599]"
252,"[1619308800000, 50133.1073963654]","[1619308800000, 937014999515.3855]","[1619308800000, 49296256745.65119]"
253,"[1619395200000, 48981.4413932161]","[1619395200000, 915533819859.1393]","[1619395200000, 46233432154.225266]"
254,"[1619481600000, 53978.80554728962]","[1619481600000, 1008389773189.793]","[1619481600000, 60226926859.91649]"
255,"[1619568000000, 54991.81484262107]","[1619568000000, 1027617870421.6592]","[1619568000000, 48468560013.13787]"
256,"[1619654400000, 54810.6138506792]","[1619654400000, 1024625833392.2412]","[1619654400000, 48072930663.01449]"
257,"[1619740800000, 53596.70402266675]","[1619740800000, 1001973605935.3958]","[1619740800000, 46958036373.360306]"
258,"[1619827200000, 57828.511814425874]","[1619827200000, 1082721727348.0433]","[1619827200000, 53879045974.4321]"
259,"[1619913600000, 57812.96915967891]","[1619913600000, 1080897634123.2937]","[1619913600000, 43967070045.82312]"
260,"[1620000000000, 56600.74528738432]","[1620000000000, 1057850321948.5465]","[1620000000000, 39072664393.929405]"
261,"[1620086400000, 57200.30029871162]","[1620086400000, 1069571255195.5189]","[1620086400000, 54132470274.07509]"
262,"[1620172800000, 53464.37021950372]","[1620172800000, 999775008412.3738]","[1620172800000, 71296763919.13268]"
263,"[1620259200000, 57432.100227087576]","[1620259200000, 1070969079353.5304]","[1620259200000, 72158368257.54709]"
264,"[1620345600000, 56507.759439869595]","[1620345600000, 1056801053574.5111]","[1620345600000, 87510802710.77629]"
265,"[1620432000000, 57361.56904328887]","[1620432000000, 1072831991777.4056]","[1620432000000, 68154805947.0942]"
266,"[1620518400000, 58771.881689509355]","[1620518400000, 1099271802311.4957]","[1620518400000, 66812167538.22713]"
267,"[1620604800000, 58213.926293744385]","[1620604800000, 1088903483393.3053]","[1620604800000, 67906284080.6139]"
268,"[1620691200000, 55901.66759456145]","[1620691200000, 1045714370754.1615]","[1620691200000, 76672978747.69038]"
269,"[1620777600000, 56928.97235660158]","[1620777600000, 1064993057463.8884]","[1620777600000, 67726708140.565094]"
270,"[1620864000000, 50004.76218313686]","[1620864000000, 935512493150.826]","[1620864000000, 75523928654.34041]"
271,"[1620950400000, 49972.795398372444]","[1620950400000, 934964766185.9642]","[1620950400000, 104203551167.93765]"
272,"[1621036800000, 49913.26314398822]","[1621036800000, 935962705739.4398]","[1621036800000, 56820196964.51265]"
273,"[1621123200000, 46780.902304688214]","[1621123200000, 875321252276.1078]","[1621123200000, 62896879696.14898]"
274,"[1621209600000, 46585.06413538846]","[1621209600000, 871695620615.745]","[1621209600000, 70636455913.96016]"
275,"[1621296000000, 43780.82559782485]","[1621296000000, 819256623328.7307]","[1621296000000, 84054878923.85199]"
276,"[1621382400000, 43091.04144756922]","[1621382400000, 800545278567.6873]","[1621382400000, 65037066859.11668]"
277,"[1621468800000, 37287.39140242737]","[1621468800000, 697785056487.6051]","[1621468800000, 141151477374.61298]"
278,"[1621555200000, 40437.73009625558]","[1621555200000, 759679496751.2783]","[1621555200000, 95001812130.50996]"
279,"[1621641600000, 37339.63420134628]","[1621641600000, 698762712553.7339]","[1621641600000, 88706010988.29123]"
280,"[1621728000000, 37520.31767547438]","[1621728000000, 702143968883.5249]","[1621728000000, 61178935273.653305]"
281,"[1621814400000, 34977.527801962424]","[1621814400000, 654558962027.5841]","[1621814400000, 84358034875.51308]"
282,"[1621900800000, 38642.4422973396]","[1621900800000, 723143072419.7241]","[1621900800000, 71163197727.3351]"
283,"[1621987200000, 38210.80521759389]","[1621987200000, 715248689989.8947]","[1621987200000, 48724794157.985054]"
284,"[1622073600000, 39406.934244116186]","[1622073600000, 737668726732.3829]","[1622073600000, 47026386118.47242]"
285,"[1622160000000, 38642.89555434217]","[1622160000000, 723137484747.1467]","[1622160000000, 40836817155.71973]"
286,"[1622246400000, 35710.220936529884]","[1622246400000, 668521654364.6696]","[1622246400000, 49991590067.73797]"
287,"[1622332800000, 34775.07941347281]","[1622332800000, 654239808356.6592]","[1622332800000, 43184025044.772804]"
288,"[1622419200000, 35714.75202018067]","[1622419200000, 668664301773.5417]","[1622419200000, 30650274657.695255]"
289,"[1622505600000, 37340.6792659422]","[1622505600000, 699138611681.2975]","[1622505600000, 37950798680.48171]"
290,"[1622592000000, 36680.06820180283]","[1622592000000, 688726381047.1788]","[1622592000000, 33536905027.710236]"
291,"[1622678400000, 37685.71798174826]","[1622678400000, 704531333543.3906]","[1622678400000, 31240691604.199257]"
292,"[1622764800000, 39151.316183800314]","[1622764800000, 733150718114.4554]","[1622764800000, 33396718844.557133]"
293,"[1622851200000, 36938.72031139185]","[1622851200000, 691747462828.3618]","[1622851200000, 39345490149.31464]"
294,"[1622937600000, 35546.98596483364]","[1622937600000, 662913486273.3402]","[1622937600000, 34068172835.766655]"
295,"[1623024000000, 35834.4744744042]","[1623024000000, 671131079523.7289]","[1623024000000, 27689283070.836933]"
296,"[1623110400000, 33451.38340714534]","[1623110400000, 626527049947.8439]","[1623110400000, 33345528753.340153]"
297,"[1623196800000, 33557.15068309184]","[1623196800000, 629018966290.4011]","[1623196800000, 46727462986.366455]"
298,"[1623283200000, 37553.64375851888]","[1623283200000, 705292677171.4633]","[1623283200000, 54511387836.11497]"
299,"[1623369600000, 36903.304906778896]","[1623369600000, 691681868464.4717]","[1623369600000, 42952476854.83458]"
300,"[1623456000000, 37289.43252210222]","[1623456000000, 698528023663.5321]","[1623456000000, 36358044262.709755]"
301,"[1623542400000, 35666.14977877309]","[1623542400000, 668148892256.3638]","[1623542400000, 35710196743.32056]"
302,"[1623628800000, 39147.70567879997]","[1623628800000, 733402631079.1185]","[1623628800000, 38185633278.287155]"
303,"[1623715200000, 40624.51305316154]","[1623715200000, 761104314502.2867]","[1623715200000, 45836408439.45157]"
304,"[1623801600000, 40378.20254971114]","[1623801600000, 756522207420.3483]","[1623801600000, 36706248352.237144]"
305,"[1623888000000, 38321.454656574206]","[1623888000000, 718016373177.285]","[1623888000000, 36563438889.78541]"
306,"[1623974400000, 38193.619141943964]","[1623974400000, 715652442155.1261]","[1623974400000, 36330237284.41833]"
307,"[1624060800000, 35881.11137137543]","[1624060800000, 673761687974.4922]","[1624060800000, 35162612172.75275]"
308,"[1624147200000, 35581.64226773201]","[1624147200000, 666901325910.3705]","[1624147200000, 28858979691.78587]"
309,"[1624233600000, 35787.07740523232]","[1624233600000, 670634370556.6146]","[1624233600000, 35609127163.62243]"
310,"[1624320000000, 31711.935467727006]","[1624320000000, 598335733135.868]","[1624320000000, 51873870276.52254]"
311,"[1624406400000, 32507.738707026845]","[1624406400000, 606580031922.7239]","[1624406400000, 57443014757.92467]"
312,"[1624492800000, 33702.61779371396]","[1624492800000, 631634847766.2311]","[1624492800000, 39798236962.44067]"
313,"[1624579200000, 34675.44910530336]","[1624579200000, 650340461975.8141]","[1624579200000, 31862051544.349895]"
314,"[1624665600000, 31943.136467863093]","[1624665600000, 598703019611.4526]","[1624665600000, 38635245431.3565]"
315,"[1624752000000, 32023.973901774916]","[1624752000000, 600235334320.8247]","[1624752000000, 36873109419.90242]"
316,"[1624838400000, 34607.293274083386]","[1624838400000, 649262127990.3759]","[1624838400000, 34335452117.32629]"
317,"[1624924800000, 34556.8421269449]","[1624924800000, 647741224116.9337]","[1624924800000, 32453802891.01519]"
318,"[1625011200000, 35968.993667970346]","[1625011200000, 674231340724.4149]","[1625011200000, 35121257875.54662]"
319,"[1625097600000, 35171.486304850056]","[1625097600000, 660200427590.4775]","[1625097600000, 31024153846.878517]"
320,"[1625184000000, 33677.566235922626]","[1625184000000, 629863895571.7473]","[1625184000000, 29129630236.14075]"
321,"[1625270400000, 33950.786555181]","[1625270400000, 633684390025.5607]","[1625270400000, 25084046353.169456]"
322,"[1625356800000, 34729.89077801021]","[1625356800000, 650382046624.6503]","[1625356800000, 22986053604.70427]"
323,"[1625443200000, 35394.213074080915]","[1625443200000, 663571591568.1959]","[1625443200000, 22727930417.748825]"
324,"[1625529600000, 33928.13421837147]","[1625529600000, 636061920914.8282]","[1625529600000, 25894820184.74507]"
325,"[1625616000000, 34149.98981477412]","[1625616000000, 640405812761.686]","[1625616000000, 26106856611.92326]"
326,"[1625702400000, 33932.25463831538]","[1625702400000, 636246944189.2604]","[1625702400000, 23692220470.135063]"
327,"[1625788800000, 32933.578199292395]","[1625788800000, 617861633771.9894]","[1625788800000, 29065577052.29722]"
328,"[1625875200000, 33971.297749757956]","[1625875200000, 637000370375.4657]","[1625875200000, 24282108111.21572]"
329,"[1625961600000, 33704.53847440508]","[1625961600000, 632185737683.1548]","[1625961600000, 20558304483.59407]"
330,"[1626048000000, 34299.938016517444]","[1626048000000, 643335853171.1349]","[1626048000000, 17798828844.27227]"
331,"[1626134400000, 33262.6543524462]","[1626134400000, 623350567666.981]","[1626134400000, 21683885320.611263]"
332,"[1626220800000, 32676.38380096018]","[1626220800000, 613002045101.37]","[1626220800000, 19932531699.624603]"
333,"[1626307200000, 32878.50187357147]","[1626307200000, 616691143979.958]","[1626307200000, 21779069066.445965]"
334,"[1626393600000, 31726.038833909817]","[1626393600000, 595342431373.8641]","[1626393600000, 21557729227.284348]"
335,"[1626480000000, 31399.653128682126]","[1626480000000, 588495008675.5178]","[1626480000000, 22671859962.66356]"
336,"[1626566400000, 31588.6713510167]","[1626566400000, 592581931071.2119]","[1626566400000, 17715455994.789402]"
337,"[1626652800000, 31919.393922554555]","[1626652800000, 597872278369.1111]","[1626652800000, 17742105807.895496]"
338,"[1626739200000, 30928.211908849244]","[1626739200000, 580252472382.7122]","[1626739200000, 20095540828.295692]"
339,"[1626825600000, 29971.903783612062]","[1626825600000, 561743228116.5483]","[1626825600000, 23000299061.896305]"
340,"[1626912000000, 32383.78112696872]","[1626912000000, 605357009416.7555]","[1626912000000, 29070652059.995018]"
341,"[1626998400000, 32409.499767175417]","[1626998400000, 607621607805.3499]","[1626998400000, 19741588059.45234]"
342,"[1627084800000, 33455.55127272261]","[1627084800000, 627747173675.4332]","[1627084800000, 22937379734.633812]"
343,"[1627171200000, 34213.59993217662]","[1627171200000, 642012590040.6406]","[1627171200000, 22120323672.367214]"
344,"[1627257600000, 35456.124660766836]","[1627257600000, 664681184168.7764]","[1627257600000, 20929083220.53677]"
345,"[1627344000000, 37281.91809217662]","[1627344000000, 701921012034.6644]","[1627344000000, 53550491997.72306]"
346,"[1627430400000, 39076.59377063225]","[1627430400000, 732311951673.3547]","[1627430400000, 36401287454.43055]"
347,"[1627516800000, 40031.19824444798]","[1627516800000, 751371299910.5153]","[1627516800000, 41369107422.717026]"
348,"[1627603200000, 39977.75693922764]","[1627603200000, 750407963580.4731]","[1627603200000, 28717414113.01727]"
349,"[1627689600000, 41936.261478677225]","[1627689600000, 786531956383.648]","[1627689600000, 35530501782.520935]"
350,"[1627776000000, 41754.16660435275]","[1627776000000, 784039345926.1898]","[1627776000000, 28437941447.49927]"
351,"[1627862400000, 39914.82975848789]","[1627862400000, 747403845431.8284]","[1627862400000, 28555173661.663795]"
352,"[1627948800000, 39278.766508103676]","[1627948800000, 737440183775.5553]","[1627948800000, 28057528866.262108]"
353,"[1628035200000, 38368.35401197897]","[1628035200000, 720835141114.3336]","[1628035200000, 28422901237.16951]"
354,"[1628121600000, 39751.58457509862]","[1628121600000, 747085951935.0547]","[1628121600000, 27751046040.329308]"
355,"[1628208000000, 40825.381940449704]","[1628208000000, 768416417393.5968]","[1628208000000, 38527930905.31518]"
356,"[1628294400000, 42802.13717474142]","[1628294400000, 803853127161.2805]","[1628294400000, 40840608016.843094]"
357,"[1628380800000, 44647.57760300116]","[1628380800000, 838457486987.6113]","[1628380800000, 42725276705.46515]"
358,"[1628467200000, 43753.217862646314]","[1628467200000, 821704814136.0109]","[1628467200000, 39633218478.615295]"
359,"[1628553600000, 46311.00189857689]","[1628553600000, 861862844505.6104]","[1628553600000, 42726733997.85781]"
360,"[1628640000000, 45639.51401890709]","[1628640000000, 854344953098.7552]","[1628640000000, 35669862361.54627]"
361,"[1628726400000, 45652.06012506926]","[1628726400000, 857660568377.3856]","[1628726400000, 35679832771.371475]"
362,"[1628812800000, 44495.20979327958]","[1628812800000, 836054770491.896]","[1628812800000, 35838614930.04035]"
363,"[1628899200000, 47717.27052766495]","[1628899200000, 895084141168.7996]","[1628899200000, 34320865037.164627]"
364,"[1628985600000, 47088.85313451467]","[1628985600000, 886593539912.8141]","[1628985600000, 33294851810.64847]"
365,"[1629055028000, 46187.35784902062]","[1629055028000, 868995573266.588]","[1629055028000, 31882610962.17278]"
